code,name,credits,subjectGroup,tags
476-411,การขนส่งต่อเนื่องหลายรูปแบบ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-412,การบริหารระวางสินค้า,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-413,การจัดการการหยุดชะงักและความเสี่ยงโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-414,โลจิสติกส์ข้ามพรมแดน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-415,การจัดการโซ่อุปทานสินค้าเกษตร,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-416,การจัดการโซ่อุปทานสุขภาพ,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-417,การจัดการโลจิสติกส์และโซ่อุปทานในอุตสาหกรรมการท่องเที่ยว,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-418,การจัดการโลจิสติกส์และโซ่อุปทานในภาคอุตสาหกรรม,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-419,ความยั่งยืนด้านการจัดการโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-420,การจัดการด้านฮาลาลโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
476-421,หัวข้อพิเศษด้านการจัดการโลจิสติกส์และโซ่อุปทาน,3,การจัดการโลจิสติกส์และโซ่อุปทาน,2567
477-101,หลักการพื้นฐานระบบสารสนเทศ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-102,ตรรกะของการใช้โปรแกรมและโครงสร้างข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-201,การเขียนโปรแกรมเบื้องต้นทางธุรกิจ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-202,การจัดการฐานข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2563
477-202,เครือข่ายคอมพิวเตอร์และความมั่นคงทางไซเบอร์,3,ระบบสารสนเทศทางธุรกิจ,2567
477-203,เครือข่ายคอมพิวเตอร์และความมั่นคงทางไซเบอร์,3,ระบบสารสนเทศทางธุรกิจ,2563
477-203,การจัดการฐานข้อมูล,3,ระบบสารสนเทศทางธุรกิจ,2567
477-204,เทคโนโลยีแพลตฟอร์มสำหรับคลาวด์,3,ระบบสารสนเทศทางธุรกิจ,2567
477-301,การพัฒนาเว็บขั้นสมบูรณ์,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-302,เทคโนโลยีแพลตฟอร์มสำหรับคลาวด์,3,ระบบสารสนเทศทางธุรกิจ,2563
477-302,การวิเคราะห์และออกแบบระบบสารสนเทศทางธุรกิจ,3,ระบบสารสนเทศทางธุรกิจ,2567
477-303,การวิเคราะห์และออกแบบระบบสารสนเทศทางธุรกิจ,3,ระบบสารสนเทศทางธุรกิจ,2563
477-303,ระบบสารสนเทศเพื่อการจัดการ,3,ระบบสารสนเทศทางธุรกิจ,2567
477-304,การฝึกงานทางระบบสารสนเทศ,0,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-305,พาณิชย์อิเล็กทรอนิกส์,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-306,ปัญญาประดิษฐ์และการเรียนรู้ของเครื่องจักร,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-307,ทรัพย์สินทางปัญญาสำหรับดิจิทัลคอนเทนท์,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-308,การค้นคืนสารสนเทศ,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-309,วิทยาการเข้ารหัสลับและเทคโนโลยีบล็อกเชน,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-310,การปฏิรูปสู่ดิจิทัล,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
477-311,ระบบฐานข้อมูลขั้นสูง,3,ระบบสารสนเทศทางธุรกิจ,2563|2567
